index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,interference_prev,index_prev
0,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.643,984896726.0,71475.0,44904224.0,24.75,651,25.0,191836.0,0,1802873.375,581.93,2.355,9560589.0,651,2906877.0,0.001,;,2,base,0.108,1.0,0.108,24.488,4,32.554,0.054,;1,
1,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.646,2148976974.0,148629.0,93583804.5,51.0,790,927.024,424162.0,0,1329246.943,836.996,2.687,68150264.0,790,5585339.0,0.001,;1,2,base,0.108,1.0,0.109,20.633,4,28.39,0.054,;1;1,0.0
2,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,2135251401.0,199806.0,98607915.0,49.561,729,50.0,419576.0,0,1622126.865,918.215,2.807,35976997.5,729,5319815.0,0.001,;10,2,base,0.11,0.981818181818,0.11,14.755,4,22.853,0.055,;10;1,2376.0
3,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,3230805395.0,403831.0,148702013.5,74.906,995,72.001,638675.0,0,2392571.863,1298.395,2.222,18682730.0,995,12177275.0,0.001,;10;1,2,base,0.11,0.981818181818,0.11,24.362,4,31.339,0.055,;10;1;1,2.0
4,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,3213045533.0,473858.0,144523255.0,74.093,1290,106.0,636735.0,0,3342084.186,1253.414,2.294,21770790.0,1289,27262246.0,0.001,;10;10,2,base,0.111,0.972972972973,0.111,22.009,4,32.413,0.056,;10;10;1,2378.0
5,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,3100528641.0,439960.0,140626114.0,74.718,1120,74.0,609208.0,0,2526011.942,1314.535,2.017,21802570.5,1119,20083918.5,0.001,;10;11,2,base,0.108,1.0,0.109,177.569,4,184.08,0.054,;10;11;1,2598.0
6,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.64,4369199377.0,709211.5,199073931.0,99.001,1318,129.0,870139.5,0,2726858.286,2055.508,5.195,23331875.5,1318,62983726.5,0.001,;10;12;10,2,base,0.11,0.981818181818,0.111,17.612,4,25.038,0.055,;10;12;10;1,2379.0
7,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,4315937993.0,888629.5,194790948.0,98.747,1338,160.003,861142.5,0,4002295.818,2065.406,2.299,39826162.5,1337,47209769.5,0.001,;10;12;12,2,base,0.11,0.981818181818,0.11,16.176,4,21.393,0.055,;10;12;12;1,2816.0
8,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,4296567262.0,748055.75,196975844.5,98.878,1297,137.004,851111.75,0,2979209.847,1989.672,2.434,18250445.75,1297,52921742.25,0.001,;10;12;13,2,base,0.11,0.981818181818,0.111,16.839,4,23.079,0.055,;10;12;13;1,3033.0
9,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.636,3264943345.0,607608.0,144058290.0,74.375,1016,57.0,648447.5,0,4414552.371,1303.98,2.361,63443400.5,1015,20658672.0,0.001,;10;13,2,base,0.11,0.981818181818,0.11,19.45,4,26.519,0.055,;10;13;1,3032.0
10,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.645,3165987126.0,519936.0,143519724.5,74.937,1155,70.0,618461.0,0,4120356.548,1184.012,2.393,29485987.5,1150,25294468.0,0.001,;10;14,2,base,0.109,0.990825688073,0.109,20.288,4,26.944,0.054,;10;14;1,3248.0
11,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,3118412889.0,393082.0,144012981.0,74.375,1203,54.0,613353.0,0,5088707.145,1320.609,1.87,25731400.0,1203,11444084.0,0.001,;10;15,2,base,0.108,1.0,0.109,21.033,4,27.656,0.054,;10;15;1,3474.0
12,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,3215882565.0,433093.0,149656433.5,74.561,1272,35.0,633462.5,0,2814124.18,1320.566,2.74,60712260.5,1271,17440450.0,0.001,;10;16,2,base,0.11,0.981818181818,0.111,26.26,4,31.692,0.055,;10;16;1,3680.0
13,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.634,4110270518.0,894250.0,186273232.3,99.499,1319,95.004,819921.0,0,4123553.107,2040.148,1.939,65881066.5,1319,49541375.5,0.001,;10;16;2,2,base,0.112,0.964285714286,0.113,16.135,4,21.603,0.056,;10;16;2;1,330.0
14,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.636,3253265351.0,433420.0,147735476.0,74.093,1027,112.002,636139.0,0,2321072.06,1309.77,2.382,34018437.0,1026,15756071.0,0.001,;10;19,2,base,0.11,0.981818181818,0.111,21.583,4,28.528,0.055,;10;19;1,4328.0
15,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,3872866146.0,706799.5,177782362.5,98.878,1322,131.999,767276.5,0,2854298.206,2048.168,2.316,45259390.5,1322,55054818.5,0.001,;10;19;7,2,base,0.11,0.981818181818,0.111,16.708,4,24.909,0.055,;10;19;7;1,1738.0
16,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,3122634877.0,452299.0,142948660.0,75.094,1058,81.999,607290.5,0,3050436.142,1321.363,1.667,46532086.0,1057,16927512.0,0.001,;10;2,2,base,0.11,0.981818181818,0.11,20.402,4,25.391,0.055,;10;2;1,327.0
17,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,2972004010.0,457224.0,134975958.0,74.718,903,118.001,578891.0,0,4543717.802,1313.777,2.115,66021415.0,902,14191385.5,0.001,;10;6,2,base,0.109,0.990825688073,0.109,20.495,4,26.716,0.054,;10;6;1,1519.0
18,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.64,2956483101.0,433701.0,136265126.0,74.655,1053,57.0,578040.5,0,2976916.751,1300.5,2.17,35289284.5,1052,15831041.0,0.001,;10;7,2,base,0.11,0.981818181818,0.11,20.55,4,27.109,0.055,;10;7;1,1736.0
19,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.644,2892049156.0,410907.0,129710399.0,74.687,1061,1026.994,573304.0,0,3372816.188,1194.184,2.41,26387372.0,1061,16079286.0,0.001,;10;8,2,base,0.109,0.990825688073,0.11,19.328,4,26.476,0.054,;10;8;1,1944.0
20,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,3957352328.0,755508.5,181631671.5,99.5,1261,36.0,785385.0,0,3078267.431,1999.629,2.474,111183718.5,1261,45845269.0,0.001,;10;8;1,2,base,0.11,0.981818181818,0.112,18.003,4,23.766,0.055,;10;8;1;1,19.0
21,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,3771786994.0,787573.0,169577513.5,99.499,1362,94.999,740759.5,0,3817188.908,2002.176,1.987,11876654.5,1362,59593937.5,0.001,;10;8;11,2,base,0.111,0.972972972973,0.111,14.307,4,19.616,0.056,;10;8;11;1,2606.0
22,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,1954118796.0,194698.0,90118872.5,49.562,819,44.999,385699.0,0,1717647.739,911.746,2.231,7588201.0,819,11488980.5,0.001,;11,2,base,0.109,0.990825688073,0.11,14.222,4,20.1,0.054,;11;1,2596.0
23,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.645,2966883552.0,504175.5,135142732.0,74.561,1233,57.001,572527.5,0,2941728.727,1293.297,2.366,22250028.5,1232,25661279.5,0.001,;11;1,2,base,0.109,0.990825688073,0.109,24.212,4,30.867,0.054,;11;1;1,22.0
24,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.634,2939952588.0,565287.5,130637906.5,74.718,1244,62.0,581173.0,0,7110241.765,1263.426,2.095,13414192.0,1239,24629440.0,0.001,;11;14,2,base,0.11,0.981818181818,0.11,19.045,4,26.008,0.055,;11;14;1,3255.0
25,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,4118219323.0,688234.5,191103918.0,99.001,1488,156.002,820800.0,0,2702377.753,2055.605,2.012,227657126.0,1488,36022830.5,0.001,;11;17;13,2,base,0.11,0.981818181818,0.11,15.936,4,21.212,0.055,;11;17;13;1,3040.0
26,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.646,2993589623.0,495369.0,136594099.5,74.843,1260,59.0,580908.0,0,2922015.017,1298.637,2.668,28766410.0,1255,31896226.0,0.001,;11;19,2,base,0.11,0.981818181818,0.111,19.45,4,25.067,0.055,;11;19;1,4335.0
27,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,4040715485.0,729154.5,183762352.5,99.0,1457,114.003,797266.5,0,2951554.694,2051.531,2.087,196265992.0,1457,48692227.0,,;11;19;1,2,0.001,0.11,0.981818181818,0.11,16.58,4,22.075,0.055,;11;19;1;1,26.0
28,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.646,2798286563.0,419673.0,124422095.5,75.251,1109,128.0,544525.5,0,2701152.378,1246.332,1.524,23132652.0,1108,26089734.5,0.001,;11;20,2,base,0.11,0.981818181818,0.111,19.351,4,26.248,0.055,;11;20;1,4537.0
29,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.645,3900187284.0,654971.5,174474411.5,99.499,1385,71.997,758366.5,0,2996217.904,2049.246,2.12,63643359.5,1384,68755153.5,0.001,;11;3;12,2,base,0.11,0.981818181818,0.11,16.987,4,24.748,0.055,;11;3;12;1,2825.0
30,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.644,2910092982.0,468504.0,131810167.5,74.75,1031,94.004,571282.0,0,3327271.598,1308.941,2.091,40206619.0,1030,17845891.0,0.001,;11;4,2,base,0.109,0.990825688073,0.109,21.328,4,28.056,0.054,;11;4;1,977.0
31,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,3915238183.0,743572.5,179533123.0,99.25,1377,103.0,780511.5,0,4136261.831,2009.141,2.297,53457146.0,1375,60438740.0,0.001,;11;5;16,2,base,0.111,0.972972972973,0.112,16.823,4,23.357,0.056,;11;5;16;1,3689.0
32,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,2787025956.0,397629.0,127830888.0,74.938,1074,72.0,551423.0,0,2679569.369,1262.934,2.003,30558260.5,1073,15097892.0,0.001,;11;7,2,base,0.11,0.981818181818,0.11,19.924,4,24.94,0.055,;11;7;1,1740.0
33,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.64,2665888669.0,443176.0,119767199.0,74.657,1111,59.001,525987.5,0,3946367.887,1309.332,1.251,24912797.5,1111,28344555.5,0.001,;11;8,2,base,0.11,0.981818181818,0.11,19.153,4,24.688,0.055,;11;8;1,1949.0
34,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.644,2137544479.0,201453.0,97161966.0,49.938,703,23.0,425843.0,0,1748868.768,888.637,2.215,65800892.0,703,8069495.5,0.001,;12,2,base,0.108,1.0,0.109,16.008,4,21.133,0.054,;12;1,2812.0
35,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.653,4235249937.0,692736.5,186464001.0,98.632,1288,112.999,813763.5,0,3337451.59,2045.27,2.843,17785345.0,1288,50371118.5,0.001,;12;10;3,2,base,0.11,0.981818181818,0.11,16.992,4,22.4,0.055,;12;10;3;1,657.0
36,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,3010953864.0,663081.0,136105382.0,74.969,1181,85.004,595373.5,0,4471998.49,1221.219,2.348,25655669.0,1180,23650991.5,,;12;11,2,0.001,0.109,0.990825688073,0.109,19.656,4,26.528,0.054,;12;11;1,2615.0
37,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.645,3929300310.0,707451.5,174352824.0,99.001,1477,1097.989,760965.5,0,3130994.205,2150.941,2.543,192473531.5,1474,86473115.5,0.001,;12;11;8,2,base,0.112,0.964285714286,0.114,16.259,4,22.591,0.056,;12;11;8;1,1955.0
38,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.656,4142521628.0,875794.0,177448367.5,99.624,1168,80.0,776740.5,0,5191508.458,2160.121,1.843,30240460.5,1168,48352575.5,0.001,;12;14;3,2,base,0.11,0.981818181818,0.11,15.787,4,21.666,0.055,;12;14;3;1,658.0
39,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.648,3105710194.0,568620.0,137819653.5,75.469,1237,132.004,593544.5,0,5963717.882,1299.246,1.922,59129506.0,1236,29403955.0,0.001,;12;15,2,base,0.11,0.981818181818,0.11,21.433,4,30.074,0.055,;12;15;1,3481.0
40,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.636,4093829105.0,837149.5,186986644.5,99.123,1161,80.0,805009.0,0,4837020.395,2042.559,2.405,33662867.0,1161,42383238.0,0.001,;12;15;19,2,base,0.111,0.972972972973,0.111,16.574,4,23.599,0.056,;12;15;19;1,4340.0
41,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,4226119839.0,755068.5,191569527.5,99.121,1289,101.0,825949.5,0,2970094.049,1983.711,2.574,64134020.5,1289,52492782.0,0.001,;12;19;19,2,base,0.113,0.955752212389,0.115,16.105,4,21.316,0.057,;12;19;19;1,4341.0
42,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,3860811668.0,781870.5,177660260.5,99.122,1325,132.0,766069.0,0,4202515.872,2028.102,2.385,48898116.0,1325,55948414.0,0.001,;12;19;6,2,base,0.11,0.981818181818,0.111,18.896,4,26.471,0.055,;12;19;6;1,1534.0
43,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.649,2802264986.0,442535.0,125523551.5,75.5,1166,113.0,532745.0,0,3162094.215,1254.398,2.048,121164057.0,1164,26011232.0,0.001,;12;20,2,base,0.109,0.990825688073,0.109,22.957,4,29.302,0.054,;12;20;1,4541.0
44,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.64,3518304065.0,648751.0,158882932.5,99.502,1251,60.0,689179.0,0,3128976.472,2001.914,1.688,27741604.0,1251,50799982.0,0.001,;12;20;20,2,base,0.11,0.981818181818,0.11,14.612,4,21.202,0.055,;12;20;20;1,4544.0
45,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.651,3068631835.0,478001.0,135179973.5,75.188,1089,57.001,595449.5,0,4847702.647,1261.434,2.498,42294602.5,1088,23137116.5,0.001,;12;3,2,base,0.109,0.990825688073,0.109,21.347,4,27.178,0.054,;12;3;1,656.0
46,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.632,3860688803.0,802599.0,176938849.5,99.125,1378,104.998,765485.0,0,4642925.88,2052.688,2.407,76009602.5,1378,47830662.5,0.001,;12;5;2,2,base,0.11,0.981818181818,0.111,16.914,4,22.681,0.055,;12;5;2;1,358.0
47,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,3704506773.0,697387.5,168298973.5,99.126,1112,77.0,731198.0,0,4601235.573,2151.879,2.273,12185636.0,1112,56950817.5,0.001,;12;6;6,2,base,0.112,0.964285714286,0.112,15.122,4,20.989,0.056,;12;6;6;1,1535.0
48,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,2106011682.0,231889.0,95619630.0,49.688,726,52.0,406415.0,0,2032318.477,893.715,2.167,28036111.5,725,8655881.0,0.001,;13,2,base,0.109,0.990825688073,0.11,16.745,4,24.541,0.054,;13;1,3030.0
49,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.644,3018981114.0,484469.0,137432197.0,74.532,1084,104.0,589110.5,0,2988945.264,1317.473,2.457,12400811.5,1084,18286949.0,0.001,;13;11,2,base,0.11,0.981818181818,0.11,31.819,4,41.157,0.055,;13;11;1,2622.0
50,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,4300859833.0,715729.5,197085556.5,98.625,1106,131.0,861003.5,0,2547006.02,2053.449,2.147,63323629.0,1104,38228039.5,0.001,;13;13;12,2,base,0.11,0.981818181818,0.11,17.598,4,22.943,0.055,;13;13;12;1,2834.0
51,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.631,3937549914.0,866558.0,178787023.5,99.127,1280,75.999,789094.5,0,3880944.7,2171.105,2.089,14466568.5,1280,63666591.5,0.001,;13;13;7,2,base,0.11,0.981818181818,0.111,17.024,4,22.16,0.055,;13;13;7;1,1754.0
52,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,3489983044.0,804990.5,157080759.0,99.499,1295,68.0,698579.5,0,4166901.996,2003.832,2.07,36702102.0,1295,52550407.5,0.001,;13;4;20,2,base,0.11,0.981818181818,0.111,15.192,4,20.998,0.055,;13;4;20;1,4554.0
53,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.633,3977859098.0,952263.0,180020227.0,99.499,1278,78.0,796706.5,0,5371535.002,2157.023,1.919,82492838.0,1278,44250720.5,0.001,;13;6;10,2,base,0.11,0.981818181818,0.11,15.507,4,22.954,0.055,;13;6;10;1,2401.0
54,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,2066647322.0,200249.0,95160870.25,49.186,676,24.999,409051.0,0,5267206.41,941.113,2.711,2675158.0,676,7339337.5,0.001,;14,2,base,0.109,0.990825688073,0.11,16.6,4,24.658,0.054,;14;1,3246.0
55,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,3064640278.0,510256.0,139169434.5,74.78,991,87.005,608076.0,0,5791561.189,1258.211,1.853,54137293.0,990,16881250.5,0.001,;14;1,2,base,0.11,0.981818181818,0.11,21.013,4,27.333,0.055,;14;1;1,54.0
56,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,3079689820.0,541932.0,141611627.5,74.687,1055,34.0,607504.5,0,6120120.349,1263.879,2.208,11637317.5,1054,16897466.5,0.001,;14;12,2,base,0.109,0.990825688073,0.109,21.707,4,27.565,0.054,;14;12;1,2839.0
57,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,3052273734.0,522224.0,138553111.5,74.625,1219,80.0,593314.5,0,4386688.128,1311.949,2.048,109535247.0,1213,19849141.0,0.001,;14;18,2,base,0.11,0.981818181818,0.11,20.904,4,28.766,0.055,;14;18;1,4140.0
58,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.636,4107763181.0,853009.0,187174873.5,99.126,1293,114.001,818534.0,0,4949830.632,2044.227,2.061,30189054.0,1293,39960312.5,0.001,;14;18;15,2,base,0.11,0.981818181818,0.111,16.012,4,21.746,0.055,;14;18;15;1,3491.0
59,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,4181641791.0,715383.0,190879713.5,99.499,1289,91.0,834387.0,0,3451749.285,2035.84,2.502,24579819.0,1289,37246704.0,0.001,;14;19;13,2,base,0.11,0.981818181818,0.111,16.05,4,21.369,0.055,;14;19;13;1,3051.0
60,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,2877491008.0,577393.0,129446705.5,74.718,1065,104.0,575866.5,0,7474622.493,1261.449,2.606,88255157.5,1064,13427511.0,0.001,;14;2,2,base,0.11,0.981818181818,0.11,21.977,4,28.015,0.055,;14;2;1,369.0
61,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.632,3699573584.0,934777.5,167642834.5,99.377,1208,89.0,746032.5,0,7484710.83,2199.969,2.083,38671861.0,1208,54574589.5,0.001,;14;2;5,2,base,0.112,0.964285714286,0.113,15.103,4,20.799,0.056,;14;2;5;1,1306.0
62,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.634,2952615497.0,460989.0,134170245.0,75.188,1013,75.994,586624.0,0,5011122.002,1312.762,1.626,35619898.0,1012,15284390.0,0.001,;14;4,2,base,0.11,0.981818181818,0.111,20.688,4,27.189,0.055,;14;4;1,1008.0
63,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.644,2959093883.0,491447.0,135604769.5,74.969,1229,72.998,584829.0,0,6597534.294,1326.367,1.898,18337977.0,1227,15662393.0,0.001,;14;5,2,base,0.109,0.990825688073,0.109,19.582,4,25.204,0.054,;14;5;1,1302.0
64,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,2809778740.0,515934.0,128366777.5,74.969,1167,74.0,546818.5,0,5626008.206,1263.66,2.38,15316994.5,1166,27029987.5,0.001,;14;6,2,base,0.11,0.981818181818,0.111,18.463,4,24.219,0.055,;14;6;1,1546.0
65,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.634,2941531216.0,452336.0,136034612.5,74.502,1173,109.997,575311.0,0,5780854.89,1302.336,1.944,19708588.0,1173,15880482.0,0.001,;14;9,2,base,0.11,0.981818181818,0.11,21.858,4,27.431,0.055,;14;9;1,2178.0
66,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,2091654194.0,219648.0,94656165.5,49.563,593,6.0,416125.0,0,3943331.234,931.203,2.127,7166302.0,593,7716393.5,0.001,;15,2,base,0.11,0.981818181818,0.11,15.835,4,21.189,0.055,;15;1,3472.0
67,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,3921799066.0,1002149.0,180601084.0,99.125,1329,167.996,769157.5,0,6777959.623,1976.258,1.935,25112006.5,1329,48423328.5,0.001,;15;14;9,2,base,0.109,0.990825688073,0.109,16.526,4,23.21,0.054,;15;14;9;1,2185.0
68,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.627,3783711645.0,1165864.0,171696742.0,99.5,1384,82.0,751652.0,0,8847558.392,2161.035,1.82,22208032.0,1384,55340468.5,0.001,;15;15;4,2,base,0.112,0.964285714286,0.113,16.612,4,22.312,0.056,;15;15;4;1,1019.0
69,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.631,3639850781.0,894295.5,169676035.0,99.5,1420,102.006,721706.0,0,6877696.813,2029.547,2.122,36496084.5,1420,46522676.5,0.001,;15;15;8,2,base,0.111,0.972972972973,0.111,18.555,4,26.405,0.056,;15;15;8;1,1974.0
70,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,3165228986.0,599909.5,141857258.5,74.06,1174,56.0,627310.0,0,5744226.741,1259.793,2.879,52569511.5,1174,22997671.5,0.001,;15;16,2,base,0.11,0.981818181818,0.11,20.984,4,27.732,0.055,;15;16;1,3712.0
71,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.639,4227086249.0,800538.0,191380206.5,99.625,1327,77.0,832641.5,0,4002262.522,2035.648,2.073,161914402.0,1327,59520120.0,0.001,;15;16;1,2,base,0.112,0.964285714286,0.113,17.802,4,23.938,0.056,;15;16;1;1,70.0
72,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.635,3086949712.0,600992.0,140522346.5,75.344,1322,129.0,609051.0,0,5068498.749,1262.523,1.486,91967893.0,1322,26963246.0,0.001,;15;19,2,base,0.11,0.981818181818,0.111,20.596,4,28.182,0.055,;15;19;1,4355.0
73,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.642,3005438535.0,576754.0,135266169.0,78.168,1273,5204.801,572623.0,0,6056120.105,1254.723,4.079,262997802.0,1272,25418151.0,0.001,;15;3,2,base,0.11,0.981818181818,0.11,22.741,4,31.451,0.055,;15;3;1,690.0
74,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.633,3506819367.0,852092.0,161685711.0,99.123,1231,99.0,700059.5,0,6051726.316,2053.664,2.16,48260987.25,1231,53731536.0,0.001,;15;6;6,2,base,0.11,0.981818181818,0.11,16.266,4,22.304,0.055,;15;6;6;1,1553.0
75,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.645,3882262757.0,748257.0,173825653.0,99.126,1246,99.001,756432.0,0,5009863.195,2050.516,2.478,71408869.5,1246,74608897.5,0.001,;15;7;19,2,base,0.113,0.955752212389,0.113,17.748,4,25.063,0.057,;15;7;19;1,4359.0
76,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.643,2084281541.0,237577.0,95954465.5,50.312,784,153.0,406258.0,0,2033643.858,902.293,4.316,27647047.5,784,9998857.0,0.001,;16,2,base,0.109,0.990825688073,0.109,17.594,4,22.674,0.054,;16;1,3678.0
77,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,3081188460.0,426569.0,141509611.0,74.468,1203,111.0,603827.5,0,2801167.566,1166.793,2.162,47610266.0,1203,22376010.0,0.001,;16;1,2,base,0.109,0.990825688073,0.109,19.554,4,25.649,0.054,;16;1;1,76.0
78,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,4165287048.0,771778.5,192510084.5,99.5,1239,118.999,842265.5,0,3117385.319,2029.863,2.309,32480464.0,1238,57070960.5,0.001,;16;11;9,2,base,0.11,0.981818181818,0.11,18.493,4,25.227,0.055,;16;11;9;1,2190.0
79,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.637,3136609237.0,430791.0,143768531.5,74.468,1134,53.0,620518.0,0,2800665.619,1318.836,2.153,12427619.5,1134,19620366.0,,;16;18,2,0.001,0.109,0.990825688073,0.109,22.755,4,29.49,0.054,;16;18;1,4150.0
80,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.646,3272311702.0,401509.0,149704589.0,75.125,914,151.0,648662.0,0,2156248.99,1261.879,1.987,15397168.0,913,13838165.5,0.001,;16;19,2,base,0.11,0.981818181818,0.11,24.712,4,33.529,0.055,;16;19;1,4361.0
81,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,2927261870.0,409431.0,133399151.0,74.937,1057,79.0,569888.5,0,2586413.904,1301.035,2.294,61906982.5,1055,17261742.5,0.001,;16;8,2,base,0.11,0.981818181818,0.11,19.704,4,25.088,0.055,;16;8;1,1980.0
82,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.638,3247042261.0,377850.0,150083635.5,74.657,1068,92.0,640264.5,0,2357419.625,1261.176,2.371,61018249.5,1067,15725166.5,0.001,;16;9,2,base,0.109,0.990825688073,0.109,19.153,4,26.467,0.054,;16;9;1,2189.0
83,parsec,1.48e+18,1484154551,parsec.blackscholes,1.48e+12,0,True,0.641,2127762542.0,203395.0,97019582.75,50.0,648,14.0,416472.0,0,2067130.226,909.469,2.135,11772047.0,643,4628114.5,0.001,;17,2,base,0.109,0.990825688073,0.11,19.229,4,26.126,0.054,;17;1,3892.0
